2077 8613
701 2244
478 1442
170 464
296 890
940 3646
458 1562
68 205
102 271
888 3144
1033 3919
160 378
99 323
153 542
146 359
682 2587
835 3363
157 524
389 965
160 406
1356 4914
378 1266
126 360
624 1984
980 3578
100 353
61 179
179 726
403 1637
74 270
141 439
1511 5962
4 12
1751 6814
70 232
928 3673
8 28
28 79
1362 4935
30 118
242 958
221 634
166 572
311 867
544 1863
166 516
1137 4669
382 1137
27 101
1783 8054
0 0
431 1569
8 38
41 105
45 138
9 18
99 337
501 2051
8 22
357 1147
67 201
541 2000
111 317
79 179
143 295
97 162
4 13
60 207
319 1166
914 2885
96 202
93 338
224 855
120 357
12 23
178 508
34 128
50 163
114 297
52 199
166 525
89 345
33 122
21 65
194 660
236 801
76 168
192 565
229 704
6 22
0 0
88 206
89 199
182 678
638 1835
13 51
44 165
6 12
50 173
128 392
253 979
60 109
33 106
682 2405
387 1251
12 43
256 806
7 20
0 0
2443 10346
1240 5188
570 1963
53 158
11 34
0 0
41 168
79 287
68 209
13 32
3 8
37 150
194 537
115 445
14 45
318 1219
99 197
1 1
12 52
13 43
2 8
16 49
91 227
1 1
2 8
133 374
8 26
13 39
2 5
1 4
139 440
682 2421
1 1
0 0
433 1469
362 1193
18 52
181 641
23 64
47 178
1251 5096
554 1988
69 207
777 2053
168 626
87 297
66 235
187 511
259 772
116 381
565 1265
760 2830
491 1995
540 1867
379 1352
825 2938
61 150
5 18
362 1068
113 228
321 1010
93 332
458 1180
564 1302
81 187
220 765
205 803
139 380
19 66
48 106
451 1600
93 150
49 154
29 101
26 87
569 1633
211 583
105 340
190 612
15 51
100 375
75 185
2 6
217 445
213 800
164 466
550 1553
17 52
605 1994
117 446
12 29
33 87
30 75
203 620
203 593
85 307
82 301
219 686
651 1713
52 128
41 129
34 121
14 27
123 499
28 119
160 609
355 1130
64 168
195 610
22 70
28 51
0 0
329 1167
1412 5573
386 1309
254 806
1 2
129 345
13 28
108 378
349 1205
660 2107
346 1410
235 849
147 327
927 3427
326 1077
257 764
32 90
168 483
45 122
29 96
80 280
10 21
10 19
11 33
716 2999
477 1844
138 402
261 981
30 78
18 59
367 1200
738 2601
38 117
66 136
218 578
114 368
144 349
102 290
2991 13321
285 1040
172 666
28 108
5 16
772 3036
705 2415
140 382
54 182
55 194
79 240
63 198
383 1427
244 707
24 57
80 203
228 614
170 541
40 110
46 171
212 757
233 850
215 693
18 54
0 0
0 0
1 3
21 61
700 2201
158 528
168 658
48 106
733 2396
923 3790
42 130
29 80
2171 9288
28 87
23 90
143 524
705 2650
43 142
86 328
418 1244
35 110
127 318
334 1412
243 996
202 801
48 177
6 16
1 3
112 273
54 156
300 1155
153 406
1116 3895
641 2046
2227 10143
273 1063
32 109
61 229
209 776
0 0
33 131
49 120
61 265
358 936
144 448
990 3343
149 407
21 65
161 410
410 1436
114 440
41 143
19 51
693 2662
221 637
673 2355
84 275
31 119
518 1905
42 102
766 2412
469 1785
120 423
46 146
455 1683
1059 3946
515 1747
257 859
119 373
734 2529
67 213
267 628
2194 8969
1233 4616
141 447
19 61
127 317
268 917
239 804
62 264
1121 4328
71 225
251 708
1179 3866
802 2826
58 192
412 1194
212 674
428 1350
258 995
183 387
17 56
350 1136
1650 5883
140 405
436 1260
1400 5088
211 688
272 798
270 882
40 116
10 34
30 78
102 280
97 353
20 74
59 209
40 131
25 70
105 195
18 66
0 0
1 4
12 29
1 4
0 0
0 0
2 6
1 3
0 0
4 15
203 431
8 29
193 562
72 239
49 148
463 1346
13 34
295 1050
245 620
90 239
179 444
89 216
208 725
29 73
156 342
352 882
94 316
57 178
221 687
75 195
105 379
269 829
166 393
263 1034
187 445
24 58
369 1362
392 1011
48 134
686 2116
533 1389
141 374
64 131
152 399
2 9
948 3613
643 2375
640 1915
31 105
81 186
100 261
254 1037
31 77
228 821
71 260
228 748
106 334
38 125
67 216
824 2923
285 738
93 372
1995 8186
87 285
143 405
38 86
86 282
28 74
47 129
216 601
105 348
573 1602
54 173
350 1145
69 204
38 66
599 2175
44 119
151 336
972 3718
312 1217
35 94
195 676
24 59
133 372
2672 10057
294 994
176 621
74 277
29 77
500 1254
64 180
62 162
39 132
97 240
185 615
212 703
335 1246
298 1075
416 1392
42 142
37 119
667 2668
47 129
49 135
838 2866
94 339
155 300
13 48
178 526
69 172
114 398
308 1085
561 2185
608 2234
42 101
152 472
179 514
67 209
346 1222
450 1763
248 712
382 1213
149 366
202 392
374 1096
117 394
83 296
117 428
476 1721
21 67
8 20
2304 10392
68 171
